Station number,Station name,Jurisdiction,Latitude,Longitude,Number of docks
M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,Cambridge,42.366426,-71.105495,17
M32011,Central Square at Mass Ave / Essex St,Cambridge,42.36507,-71.1031,19
D32016,Charles Circle - Charles St. at Cambridge St.,Boston,42.360835,-71.0708399,15
D32024,Charles St at Beacon St,Boston,42.356052,-71.069849,15
D32020,Charlestown - Main St at Austin St,Boston,42.375603,-71.064608,11
D32021,Charlestown - Warren St at Chelsea St,Boston,42.371848,-71.060292,19
D32015,Chinatown Gate Plaza - Surface Rd. at Beach St.,Boston,42.351356,-71.059367,15
B32005,Christian Science Plaza,Boston,42.343864,-71.085918,19
B32006,Colleges of the Fenway,Boston,42.340021,-71.100812,15
C32004,Columbus Ave. at Mass. Ave.,Boston,42.340799,-71.081572,11
C32010,Congress / Sleeper,Boston,42.3511,-71.0496,19
